collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2016,73306,지석훈,NC,,False,141,351,0.2193732193732193,0.278,0.336,0.614,0.117,0.265,0.279,0.0,9,54,34,77,14,0,22,9,91,0,-1.237,,1.0
2017,73306,지석훈,NC,,False,121,268,0.2388059701492537,0.318,0.366,0.684,0.127,0.294,0.32,88.2,6,24,29,64,16,0,22,10,67,1,-1.966,0.56,1.0
2018,73306,지석훈,NC,,False,67,94,0.1808510638297872,0.238,0.234,0.472,0.053,0.211,0.226,27.6,1,8,9,17,2,0,8,0,20,1,-0.302,-0.71,1.0
2019,73306,지석훈,NC,,False,76,149,0.2281879194630872,0.299,0.329,0.628,0.101,0.286,0.289,72.4,2,15,15,34,9,0,10,6,37,0,-0.073,-0.06,1.0
2020,73306,지석훈,NC,,False,87,121,0.2066115702479339,0.3,0.298,0.598,0.091,0.27,0.278,56.1,1,12,22,25,8,0,15,2,33,1,-1.075,-0.13,1.0
2021,73306,지석훈,NC,,False,28,34,0.1470588235294117,0.302,0.176,0.478,0.0289999999999999,0.217,0.269,55.6,0,2,6,5,1,0,6,2,12,0,-0.048,-0.03,1.0
2015,64717,지시완,한화,,False,9,12,0.25,0.25,0.333,0.583,0.083,0.429,0.33,0.0,0,0,1,3,1,0,0,0,5,0,-0.062,,1.0
2016,64717,지시완,한화,,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2018,64717,지시완,한화,,False,99,207,0.2753623188405797,0.32,0.411,0.731,0.1359999999999999,0.342,0.326,72.1,7,29,22,57,7,0,12,2,55,1,1.85,0.04,1.0
2019,64717,지시완,한화,,False,58,104,0.25,0.284,0.365,0.649,0.1149999999999999,0.296,0.303,79.8,2,11,7,26,6,0,5,0,21,0,-1.297,0.13,1.0
2020,64717,지시완,롯데,,False,3,8,0.25,0.455,0.25,0.705,0.0,0.5,0.444,162.6,0,2,0,2,0,0,3,0,4,0,0.133,0.14,1.0
2021,64717,지시완,롯데,,False,73,166,0.2409638554216867,0.319,0.422,0.741,0.181,0.314,0.327,92.6,7,26,23,40,9,0,14,5,54,0,-0.328,0.93,1.0
2022,64717,지시완,롯데,,False,75,174,0.2126436781609195,0.299,0.305,0.604,0.092,0.291,0.277,61.3,3,17,16,37,7,0,20,2,55,0,-0.924,0.05,1.0
2023,64717,지시완,롯데,,False,6,8,0.125,0.125,0.125,0.25,0.0,0.333,0.09,-73.5,0,0,0,1,0,0,0,0,5,0,-0.196,-0.12,1.0
2012,62302,지재옥,넥센,,False,29,50,0.12,0.29,0.2,0.49,0.08,0.128,0.235,0.0,1,3,3,6,1,0,10,2,10,1,0.0,,1.0
2013,62302,지재옥,넥센,,False,18,10,0.0,0.167,0.0,0.167,0.0,0.0,0.12,0.0,0,0,1,0,0,0,2,0,5,0,0.0,,1.0
2016,62302,지재옥,넥센,,False,7,13,0.2307692307692307,0.412,0.462,0.874,0.231,0.4,0.392,0.0,1,1,2,3,0,0,3,1,7,0,-0.201,,1.0
2010,97202,진갑용,삼성,,False,100,259,0.2625482625482625,0.375,0.409,0.784,0.1459999999999999,0.301,0.345,0.0,10,28,36,68,8,0,45,2,57,0,0.0,,1.0
2011,97202,진갑용,삼성,,False,112,286,0.2727272727272727,0.357,0.402,0.759,0.129,0.304,0.334,0.0,10,42,26,78,7,0,35,3,53,1,0.0,,1.0
2012,97202,진갑용,삼성,,False,114,313,0.3067092651757188,0.354,0.419,0.773,0.1119999999999999,0.342,0.339,0.0,6,57,27,96,15,1,17,7,46,0,0.0,,1.0
2013,97202,진갑용,삼성,,False,101,181,0.2707182320441988,0.33,0.42,0.75,0.1489999999999999,0.289,0.323,0.0,6,36,22,49,9,0,12,5,28,0,0.0,,1.0
